PDBID,chain,description,enabled,original_chain,resolved_chain,residue_count_inferred,resolution_notes
7ROA,A,casp_round=CASP15; target_id=T1104; target_length=117; size_bin=small; stoichiometry=A1; notes=EntV136,1,A,A,115,requested_chain_is_protein
7QIH,A,casp_round=CASP15; target_id=T1106s1; target_length=122; size_bin=small; stoichiometry=A1; notes=YscY-YscX subtarget s1 | duplicate_entry: casp_round=CASP15; target_id=T1106s2; target_length=114; size_bin=small; stoichiometry=A1; notes=YscY-YscX subtarget s2; verify chain/domain mapping,1,A,A,111,requested_chain_is_protein
8ORK,A,casp_round=CASP15; target_id=T1112; target_length=460; size_bin=large; stoichiometry=A1; notes=O93732.1,1,A,AAA,448,resolved_from_placeholder_A; pdb_chain_id_truncated_from_AAA
7UYX,A,casp_round=CASP15; target_id=T1113; target_length=193; size_bin=medium; stoichiometry=A2; notes=gp2; homomeric/capri target,1,A,A,167,requested_chain_is_protein
7UTD,A,casp_round=CASP15; target_id=T1114s1; target_length=189; size_bin=medium; stoichiometry=A1; notes=A0QUM5/A0QUM6/A0QUM7 subtarget s1 | duplicate_entry: casp_round=CASP15; target_id=T1114s2; target_length=369; size_bin=medium; stoichiometry=A1; notes=A0QUM5/A0QUM6/A0QUM7 subtarget s2 | duplicate_entry: casp_round=CASP15; target_id=T1114s3; target_length=535; size_bin=large; stoichiometry=A1; notes=A0QUM5/A0QUM6/A0QUM7 subtarget s3,1,A,A,512,requested_chain_is_protein
7SQ4,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,48,requested_chain_is_protein
7QVB,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,214,requested_chain_is_protein
7TIL,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,365,requested_chain_is_protein
8BBT,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,230,requested_chain_is_protein
7UZT,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,211,requested_chain_is_protein
