PDBID,chain,description,enabled
7ROA,A,casp_round=CASP15; target_id=T1104; target_length=117; size_bin=small; stoichiometry=A1; notes=EntV136,1
7QIH,A,casp_round=CASP15; target_id=T1106s1; target_length=122; size_bin=small; stoichiometry=A1; notes=YscY-YscX subtarget s1 | duplicate_entry: casp_round=CASP15; target_id=T1106s2; target_length=114; size_bin=small; stoichiometry=A1; notes=YscY-YscX subtarget s2; verify chain/domain mapping,1
8ORK,A,casp_round=CASP15; target_id=T1112; target_length=460; size_bin=large; stoichiometry=A1; notes=O93732.1,1
7UYX,A,casp_round=CASP15; target_id=T1113; target_length=193; size_bin=medium; stoichiometry=A2; notes=gp2; homomeric/capri target,1
7UTD,A,casp_round=CASP15; target_id=T1114s1; target_length=189; size_bin=medium; stoichiometry=A1; notes=A0QUM5/A0QUM6/A0QUM7 subtarget s1 | duplicate_entry: casp_round=CASP15; target_id=T1114s2; target_length=369; size_bin=medium; stoichiometry=A1; notes=A0QUM5/A0QUM6/A0QUM7 subtarget s2 | duplicate_entry: casp_round=CASP15; target_id=T1114s3; target_length=535; size_bin=large; stoichiometry=A1; notes=A0QUM5/A0QUM6/A0QUM7 subtarget s3,1
7SQ4,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
7QVB,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
7TIL,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8BBT,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
7UZT,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
7UX8,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8H2N,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8XBP,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8A8C,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8ECX,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8DYS,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
7UBZ,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8FEF,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
7UWW,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8EM5,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8D5V,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
7R1L,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
