target_id,pdb_id,chain_id,sequence,reference_pdb,notes
T1104,7ROA,A,,results/2026-06-06-combine-8models/references/T1104.pdb,src_chain=A;residues=58-189
T1106s1,7QIH,A,,results/2026-06-06-combine-8models/references/T1106s1.pdb,src_chain=B;residues=50-120
T1106s2,7QIH,A,,results/2026-06-06-combine-8models/references/T1106s2.pdb,src_chain=A;residues=2-112
T1112,8ORK,A,,results/2026-06-06-combine-8models/references/T1112.pdb,src_chain=AAA;residues=2-460
T1114s1,7UTD,A,,results/2026-06-06-combine-8models/references/T1114s1.pdb,src_chain=Q;residues=20-78
T1114s2,7UTD,A,,results/2026-06-06-combine-8models/references/T1114s2.pdb,src_chain=B;residues=2-323
T1114s3,7UTD,A,,results/2026-06-06-combine-8models/references/T1114s3.pdb,src_chain=A;residues=4-516
T1120,7QVB,A,,results/2026-06-06-combine-8models/references/T1120.pdb,src_chain=B;residues=4-231
T1122,8BBT,A,,results/2026-06-06-combine-8models/references/T1122.pdb,src_chain=A;residues=4-237
T1129s2,8A8C,A,,results/2026-06-06-combine-8models/references/T1129s2.pdb,src_chain=B;residues=41-640
T1133,8DYS,A,,results/2026-06-06-combine-8models/references/T1133.pdb,src_chain=A;residues=4-427
T1134s1,7UBZ,A,,results/2026-06-06-combine-8models/references/T1134s1.pdb,src_chain=A;residues=1-230
T1134s2,7UBZ,A,,results/2026-06-06-combine-8models/references/T1134s2.pdb,src_chain=D;residues=168-472
T1137s1,8FEF,A,,results/2026-06-06-combine-8models/references/T1137s1.pdb,src_chain=A;residues=18-409
T1137s2,8FEF,A,,results/2026-06-06-combine-8models/references/T1137s2.pdb,src_chain=B;residues=2-343
T1137s3,8FEF,A,,results/2026-06-06-combine-8models/references/T1137s3.pdb,src_chain=C;residues=1-310
T1137s4,8FEF,A,,results/2026-06-06-combine-8models/references/T1137s4.pdb,src_chain=D;residues=42-468
T1137s5,8FEF,A,,results/2026-06-06-combine-8models/references/T1137s5.pdb,src_chain=E;residues=33-390
T1137s6,8FEF,A,,results/2026-06-06-combine-8models/references/T1137s6.pdb,src_chain=F;residues=1-399
T1137s7,8FEF,A,,results/2026-06-06-combine-8models/references/T1137s7.pdb,src_chain=G;residues=2-325
T1137s8,8FEF,A,,results/2026-06-06-combine-8models/references/T1137s8.pdb,src_chain=I;residues=14-266
T1137s9,8FEF,A,,results/2026-06-06-combine-8models/references/T1137s9.pdb,src_chain=J;residues=27-289
T1145,7UWW,A,,results/2026-06-06-combine-8models/references/T1145.pdb,src_chain=A;residues=34-665
T1147,8EM5,A,,results/2026-06-06-combine-8models/references/T1147.pdb,src_chain=A;residues=12-103
T1151s2,8D5V,A,,results/2026-06-06-combine-8models/references/T1151s2.pdb,src_chain=A;residues=8-91
T1155,8PBV,A,,results/2026-06-06-combine-8models/references/T1155.pdb,src_chain=A;residues=1-116
T1157s2,8PKO,A,,results/2026-06-06-combine-8models/references/T1157s2.pdb,src_chain=B;residues=21-484
T1159,7PZT,A,,results/2026-06-06-combine-8models/references/T1159.pdb,src_chain=A;residues=1-160
T1183,8IFX,A,,results/2026-06-06-combine-8models/references/T1183.pdb,src_chain=B;residues=1-195
T1185s1,8OUY,A,,results/2026-06-06-combine-8models/references/T1185s1.pdb,src_chain=A;residues=4-73
T1185s2,8OUY,A,,results/2026-06-06-combine-8models/references/T1185s2.pdb,src_chain=B;residues=10-349
T1185s4,8OUY,A,,results/2026-06-06-combine-8models/references/T1185s4.pdb,src_chain=D;residues=20-280
T1194,8OKH,A,,results/2026-06-06-combine-8models/references/T1194.pdb,src_chain=A;residues=22-185
T1212,9B0L,A,,results/2026-06-06-combine-8models/references/T1212.pdb,src_chain=P;residues=53-518
T1227s1,9N8W,A,,results/2026-06-06-combine-8models/references/T1227s1.pdb,src_chain=A;residues=27-418
T1266,8QFB,A,,results/2026-06-06-combine-8models/references/T1266.pdb,src_chain=A;residues=563-860
T1272s2,9C3C,A,,results/2026-06-06-combine-8models/references/T1272s2.pdb,src_chain=a;residues=25-350
T1272s3,9C3C,A,,results/2026-06-06-combine-8models/references/T1272s3.pdb,src_chain=b;residues=57-318
T1272s4,9C3C,A,,results/2026-06-06-combine-8models/references/T1272s4.pdb,src_chain=d;residues=21-289
T1272s5,9C3C,A,,results/2026-06-06-combine-8models/references/T1272s5.pdb,src_chain=g;residues=28-291
T1272s6,9C3C,A,,results/2026-06-06-combine-8models/references/T1272s6.pdb,src_chain=A;residues=63-653
T1272s7,9C3C,A,,results/2026-06-06-combine-8models/references/T1272s7.pdb,src_chain=B;residues=654-798
T1272s9,9C3C,A,,results/2026-06-06-combine-8models/references/T1272s9.pdb,src_chain=n;residues=42-216
T1280,9F5M,A,,results/2026-06-06-combine-8models/references/T1280.pdb,src_chain=AAA;residues=615-848
T1299,9FJL,A,,results/2026-06-06-combine-8models/references/T1299.pdb,src_chain=A;residues=1-168
