target_id,model,rank,inference_time_sec,inference_time_sec_per_prediction,prediction_count,trials_run,max_trials,successful_trial,success,return_code
T1104,colabfold,1,108.0,108.0,1,1,1,1,True,0
T1106s1,colabfold,1,118.0,118.0,1,1,1,1,True,0
T1106s2,colabfold,1,121.0,121.0,1,1,1,1,True,0
T1112,colabfold,1,146.0,146.0,1,1,1,1,True,0
T1114s1,colabfold,1,135.0,135.0,1,1,1,1,True,0
T1114s2,colabfold,1,155.0,155.0,1,1,1,1,True,0
T1114s3,colabfold,1,186.0,186.0,1,1,1,1,True,0
T1120,colabfold,1,150.0,150.0,1,1,1,1,True,0
T1122,colabfold,1,116.0,116.0,1,1,1,1,True,0
T1129s2,colabfold,1,139.0,139.0,1,1,1,1,True,0
T1133,colabfold,1,187.0,187.0,1,1,1,1,True,0
T1134s1,colabfold,1,140.0,140.0,1,1,1,1,True,0
T1134s2,colabfold,1,150.0,150.0,1,1,1,1,True,0
T1137s1,colabfold,1,160.0,160.0,1,1,1,1,True,0
T1137s2,colabfold,1,157.0,157.0,1,1,1,1,True,0
T1137s3,colabfold,1,159.0,159.0,1,1,1,1,True,0
T1137s4,colabfold,1,190.0,190.0,1,1,1,1,True,0
T1137s5,colabfold,1,164.0,164.0,1,1,1,1,True,0
T1137s6,colabfold,1,183.0,183.0,1,1,1,1,True,0
T1137s7,colabfold,1,209.0,209.0,1,1,1,1,True,0
T1137s8,colabfold,1,147.0,147.0,1,1,1,1,True,0
T1137s9,colabfold,1,153.0,153.0,1,1,1,1,True,0
T1145,colabfold,1,201.0,201.0,1,1,1,1,True,0
T1147,colabfold,1,134.0,134.0,1,1,1,1,True,0
T1151s2,colabfold,1,111.0,111.0,1,1,1,1,True,0
T1155,colabfold,1,99.0,99.0,1,1,1,1,True,0
T1157s2,colabfold,1,189.0,189.0,1,1,1,1,True,0
T1159,colabfold,1,109.0,109.0,1,1,1,1,True,0
T1183,colabfold,1,124.0,124.0,1,1,1,1,True,0
T1185s1,colabfold,1,155.0,155.0,1,1,1,1,True,0
T1185s2,colabfold,1,135.0,135.0,1,1,1,1,True,0
T1185s4,colabfold,1,132.0,132.0,1,1,1,1,True,0
T1194,colabfold,1,101.0,101.0,1,1,1,1,True,0
T1212,colabfold,1,174.0,174.0,1,1,1,1,True,0
T1227s1,colabfold,1,172.0,172.0,1,1,1,1,True,0
T1266,colabfold,1,128.0,128.0,1,1,1,1,True,0
T1272s2,colabfold,1,161.0,161.0,1,1,1,1,True,0
T1272s3,colabfold,1,148.0,148.0,1,1,1,1,True,0
T1272s4,colabfold,1,151.0,151.0,1,1,1,1,True,0
T1272s5,colabfold,1,159.0,159.0,1,1,1,1,True,0
T1272s6,colabfold,1,166.0,166.0,1,1,1,1,True,0
T1272s7,colabfold,1,148.0,148.0,1,1,1,1,True,0
T1272s9,colabfold,1,142.0,142.0,1,1,1,1,True,0
T1280,colabfold,1,155.0,155.0,1,1,1,1,True,0
T1299,colabfold,1,120.0,120.0,1,1,1,1,True,0
