model,domain_id,target_id,casp_round,pdb_id,chain_id,should_use,target_qc_status,qc_reason,reference_coverage,mapping_identity,mapping_coverage,resolved_ca_count,expected_mapped_residue_count,chain_assignment_confidence,target_length,residue_start,residue_end,sequence_start,sequence_end,success,score_success,gdt_ts,lddt_ca,tm_score,rmsd_ca,gdc_sc,global_lddt,molprobity,runtime_sec,carbon_emissions_g,energy_consumed_kwh,input_fasta,output_structure,log_file,error_message,score_error
boltz,T1104,T1104,CASP15,7ROA,A,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.871212,1.000000,1.000000,115,132,high,117,58,189,1,117,true,true,0.1978,0.502464922260144,0.71155,4.7167367478243385,,,,,,,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/sequences/T1104.fasta,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/predictions/T1104/boltz/rank_001.pdb,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/logs/T1104_boltz.log,skipped existing success,missing score
boltz,T1106s1,T1106s1,CASP15,7QIH,B,No,No,chain mapping below threshold identity=1.000 coverage=0.615; multiple equivalent chains match,0.946667,1.000000,0.614754,71,75,low,122,50,120,1,122,true,true,0.5069,0.47936726272352126,0.49637,13.459014698185676,,,,,,,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/sequences/T1106s1.fasta,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/predictions/T1106s1/boltz/rank_001.pdb,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/logs/T1106s1_boltz.log,skipped existing success,missing score
boltz,T1106s2,T1106s2,CASP15,7QIH,A,Check,Check,multiple equivalent chains match,0.909836,1.000000,1.000000,111,122,high,114,2,112,1,114,true,true,0.9369,0.5654369784804567,0.93246,3.760654454145308,,,,,,,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/sequences/T1106s2.fasta,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/predictions/T1106s2/boltz/rank_001.pdb,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/logs/T1106s2_boltz.log,skipped existing success,missing score
boltz,T1112,T1112,CASP15,8ORK,AAA,Check,Check,multiple equivalent chains match,0.973913,1.000000,1.000000,448,460,high,460,2,460,1,460,true,true,0.3371,0.28763968267508316,0.61331,14.635996037360485,,,,,,,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/sequences/T1112.fasta,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/predictions/T1112/boltz/rank_001.pdb,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/logs/T1112_boltz.log,skipped existing success,missing score
boltz,T1114s1,T1114s1,CASP15,7UTD,Q,No,No,chain mapping below threshold identity=1.000 coverage=0.317; multiple equivalent chains match,0.983333,1.000000,0.317460,59,60,low,189,20,78,1,189,true,true,0.5339,0.708173076923077,0.41311,13.746894300260061,,,,,,,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/sequences/T1114s1.fasta,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/predictions/T1114s1/boltz/rank_001.pdb,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/logs/T1114s1_boltz.log,skipped existing success,missing score
boltz,T1114s2,T1114s2,CASP15,7UTD,B,Check,Check,multiple equivalent chains match,0.872629,1.000000,1.000000,322,369,high,369,2,323,1,369,true,true,0.0699,0.2015127568299842,0.44893,19.642530466993293,,,,,,,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/sequences/T1114s2.fasta,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/predictions/T1114s2/boltz/rank_001.pdb,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/logs/T1114s2_boltz.log,skipped existing success,missing score
boltz,T1114s3,T1114s3,CASP15,7UTD,A,Check,Check,multiple equivalent chains match,0.998051,1.000000,0.958879,512,513,high,535,4,516,1,535,true,true,0.0679,0.1942775563619059,0.30236,24.5701299780989,,,,,,,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/sequences/T1114s3.fasta,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/predictions/T1114s3/boltz/rank_001.pdb,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/logs/T1114s3_boltz.log,skipped existing success,missing score
boltz,T1120,T1120,CASP15,7QVB,B,Check,Check,multiple equivalent chains match,0.970213,1.000000,1.000000,228,235,high,235,4,231,1,235,true,true,0.1393,0.3225340725340725,0.30193,21.615647149756327,,,,,,,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/sequences/T1120.fasta,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/predictions/T1120/boltz/rank_001.pdb,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/logs/T1120_boltz.log,skipped existing success,missing score
boltz,T1122,T1122,CASP15,8BBT,A,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.954357,1.000000,1.000000,230,241,high,241,4,237,1,241,true,true,0.225,0.3696266968325792,0.33576,20.20593227546675,,,,,,,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/sequences/T1122.fasta,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/predictions/T1122/boltz/rank_001.pdb,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/logs/T1122_boltz.log,skipped existing success,missing score
boltz,T1125,T1125,CASP15,8H2N,A,No,No,chain mapping below threshold identity=1.000 coverage=0.677; multiple equivalent chains match,0.856273,1.000000,0.676667,703,821,low,1200,327,1117,1,1200,pending,,,,,,,,,,,,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/sequences/T1125.fasta,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/predictions/T1125/boltz/rank_001.pdb,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/logs/T1125_boltz.log,,
boltz,T1129s2,T1129s2,CASP15,8A8C,B,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.825000,1.000000,1.000000,528,640,high,640,41,640,1,640,pending,,,,,,,,,,,,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/sequences/T1129s2.fasta,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/predictions/T1129s2/boltz/rank_001.pdb,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/logs/T1129s2_boltz.log,,
boltz,T1133,T1133,CASP15,8DYS,A,Check,Check,reference coverage below threshold 0.699,0.699145,1.000000,1.000000,409,585,high,585,4,427,1,585,pending,,,,,,,,,,,,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/sequences/T1133.fasta,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/predictions/T1133/boltz/rank_001.pdb,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/logs/T1133_boltz.log,,
boltz,T1134s1,T1134s1,CASP15,7UBZ,A,Check,Check,multiple equivalent chains match,1.000000,1.000000,1.000000,230,230,high,230,1,230,1,230,pending,,,,,,,,,,,,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/sequences/T1134s1.fasta,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/predictions/T1134s1/boltz/rank_001.pdb,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/logs/T1134s1_boltz.log,,
boltz,T1134s2,T1134s2,CASP15,7UBZ,D,Check,Check,reference coverage below threshold 0.645; multiple equivalent chains match,0.645367,1.000000,1.000000,202,313,high,313,168,472,1,313,pending,,,,,,,,,,,,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/sequences/T1134s2.fasta,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/predictions/T1134s2/boltz/rank_001.pdb,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/logs/T1134s2_boltz.log,,
boltz,T1137s1,T1137s1,CASP15,8FEF,A,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.958435,1.000000,1.000000,392,409,high,409,18,409,1,409,pending,,,,,,,,,,,,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/sequences/T1137s1.fasta,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/predictions/T1137s1/boltz/rank_001.pdb,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/logs/T1137s1_boltz.log,,
boltz,T1137s2,T1137s2,CASP15,8FEF,B,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.976676,1.000000,1.000000,335,343,high,343,2,343,1,343,pending,,,,,,,,,,,,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/sequences/T1137s2.fasta,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/predictions/T1137s2/boltz/rank_001.pdb,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/logs/T1137s2_boltz.log,,
boltz,T1137s3,T1137s3,CASP15,8FEF,C,Check,Check,reference coverage below threshold 0.592,0.591603,1.000000,1.000000,310,524,high,524,1,310,1,524,pending,,,,,,,,,,,,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/sequences/T1137s3.fasta,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/predictions/T1137s3/boltz/rank_001.pdb,results/casp15_casp16_unique_lt1000_all_default_20260529_182536/logs/T1137s3_boltz.log,,
