rep,model,stage,attributed,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,measured_energy_kwh,wall_time_sec,n_files,gpu_share_pct
rep1,af2,inference,False,0.0753398190749995,0.2531421030529845,0.1554088004286764,0.4838907225566656,6381.952946186066,45,52.313898831433626
rep1,af2,msa_features,False,0.8986936382003934,1.3230412521623292,1.9857796356016644,4.207514525964389,76126.442943573,45,31.444722151234405
rep1,boltz2,inference,False,0.0074656510381302,0.0877796857792456,0.028862934886316,0.1241082717036959,2927.017158456845,45,70.7283121215477
rep1,boltz2,msa_build,True,0.0526872811098095,0.5018225425688199,0.2233732645281134,0.7778830882067473,23335.951838115347,45,64.51130641311069
rep1,chai1,inference,False,0.016693591928631,0.3013717374860874,0.0697850512998067,0.3878503807145296,7207.72570609604,45,77.70309182909124
rep1,colabfold,inference,False,0.029907187626914,0.2272410567927017,0.0642931531664138,0.3214413975860343,6600.357821866521,45,70.69439670784273
rep1,colabfold,msa_build,False,0.0526872811098095,0.5018225425688199,0.2233732645281134,0.7778830882067473,23335.951838115347,45,64.51130641311069
rep1,esmfold,inference,False,0.0086759564000083,0.1102864826735577,0.0311440532382695,0.1501064923118402,3159.8882898911834,45,73.47216031432232
rep1,omegafold,inference,False,0.012638556015701243,0.3134697316089173,0.0530123362753904,0.3791206239000132,5462.268796732824,45,82.68337617306551
rep1,openfold,inference,False,0.008141135212219689,0.1866964913015177,0.0327473051357123,0.227584931649453,3341.5259089261526,45,82.03376644860096
rep1,openfold,msa_build,True,0.0526872811098095,0.5018225425688199,0.2233732645281134,0.7778830882067473,23335.951838115347,45,64.51130641311069
rep1,protenix,inference,False,0.009382257775035801,0.1043122662275178,0.0395228797433168,0.1532174037458742,4042.349148618174,45,68.08121249759088
rep1,protenix,msa_build,True,0.0526872811098095,0.5018225425688199,0.2233732645281134,0.7778830882067473,23335.951838115347,45,64.51130641311069
rep2,af2,inference,False,0.072607327930958,0.2088584701827527,0.1467385306535532,0.4282043287672679,6150.485808372498,45,48.77542242135313
rep2,boltz2,inference,False,0.0337184457874937,0.105275946889164,0.0745113279434092,0.2135057206200714,2856.239846944809,45,49.30825580851877
rep2,boltz2,msa_build,True,0.0517450824669591,0.1897282753936082,0.2196020866619975,0.4610754445225693,22954.816932429007,45,41.1490738983223
rep2,chai1,inference,False,0.0627702487395846,0.2605961734337173,0.1388352970157703,0.4622017191890773,5317.165632247925,45,56.38148077227632
rep2,colabfold,inference,False,0.028740799888499702,0.1260545558435615,0.0610463012856273,0.2158416570176932,6313.172292374991,45,58.40140294754648
rep2,colabfold,msa_build,False,0.0517450824669591,0.1897282753936082,0.2196020866619975,0.4610754445225693,22954.816932429007,45,41.1490738983223
rep2,esmfold,inference,False,0.0299742700598284,0.0783157646631931,0.0662844726562603,0.17457450737928631,2539.08088350296,45,44.860939800931945
rep2,omegafold,inference,False,0.0570459209016607,0.2894442335329515,0.1261450766136889,0.4726352310483053,4832.266394615173,45,61.24051160785592
rep2,openfold,inference,False,0.035027078210643,0.1709009941936739,0.0774443187067309,0.2833723911110527,2967.0889122486115,45,60.30968420162758
rep2,openfold,msa_build,True,0.0517450824669591,0.1897282753936082,0.2196020866619975,0.4610754445225693,22954.816932429007,45,41.1490738983223
rep2,protenix,inference,False,0.0492035710824838,0.0864032914412165,0.10881340729447961,0.244420269818184,4167.96927022934,45,35.350297054123395
rep2,protenix,msa_build,True,0.0517450824669591,0.1897282753936082,0.2196020866619975,0.4610754445225693,22954.816932429007,45,41.1490738983223
rep3,af2,inference,False,0.072757170452838,0.2415202456868056,0.1467150670730272,0.4609924832126749,6163.178414821625,45,52.39136308766762
rep3,boltz2,inference,False,0.0338696147309389,0.1174383413211133,0.0749168049299079,0.22622476098196462,2869.045599937439,45,51.91224020366109
rep3,boltz2,msa_build,True,0.0549669335618939,0.1982643133335453,0.2310809660205322,0.4843122129159755,24151.33213591903,45,40.937293763422886
rep3,chai1,inference,False,0.0626855696979474,0.26145633150422287,0.1386459143967636,0.4627878155989388,5309.9923412799835,45,56.495941053644536
rep3,colabfold,inference,False,0.0291722731517738,0.1281697267023651,0.0620383364792739,0.2193803363334173,6387.555862525056,45,58.423525482964706
rep3,colabfold,msa_build,False,0.0549669335618939,0.1982643133335453,0.2310809660205322,0.4843122129159755,24151.33213591903,45,40.937293763422886
rep3,esmfold,inference,False,0.0301743783420966,0.0791528664146435,0.0667310913278375,0.1760583360845815,2556.025018930435,45,44.95831789334805
rep3,omegafold,inference,False,0.0568524596984163,0.2914366288989545,0.1257139840170273,0.4740030726144028,4815.878908157349,45,61.484122305687755
rep3,openfold,inference,False,0.0353052255541065,0.1823494323954453,0.0780596034059694,0.2957142613555254,2990.65083694458,45,61.66406434359162
rep3,openfold,msa_build,True,0.0549669335618939,0.1982643133335453,0.2310809660205322,0.4843122129159755,24151.33213591903,45,40.937293763422886
rep3,protenix,inference,False,0.0498891325698935,0.1051612451480172,0.1103500517079971,0.2654004294259122,4226.042688369751,45,39.62361529538339
rep3,protenix,msa_build,True,0.0549669335618939,0.1982643133335453,0.2310809660205322,0.4843122129159755,24151.33213591903,45,40.937293763422886
