domain_id,target_id,casp_round,pdb_id,chain_id,should_use,qc_reason,reference_coverage,mapping_identity,mapping_coverage,target_length,n_models_attempted,n_models_success,best_model_by_lddt_ca,best_lddt_ca,mean_lddt_ca_across_models,best_model_by_gdt_ts,best_gdt_ts,mean_gdt_ts_across_models,best_model_by_tm_score,best_tm_score,mean_tm_score_across_models
T0272s2,T0272s2,CASP16,9C3C,a,Check,multiple equivalent chains match,0.972393,1.000000,0.898072,363,7,0,,,,,,,,,
T0272s3,T0272s3,CASP16,9C3C,b,Check,multiple equivalent chains match,0.823899,1.000000,1.000000,318,7,0,,,,,,,,,
T0272s4,T0272s4,CASP16,9C3C,d,Check,multiple equivalent chains match,0.930796,1.000000,1.000000,289,7,0,,,,,,,,,
T0272s5,T0272s5,CASP16,9C3C,g,Check,multiple equivalent chains match,0.907216,1.000000,1.000000,291,7,0,,,,,,,,,
T0272s6,T0272s6,CASP16,9C3C,A,Check,reference coverage below threshold 0.641,0.641026,1.000000,1.000000,624,7,0,,,,,,,,,
T0272s7,T0272s7,CASP16,9C3C,B,No,chain mapping below threshold identity=1.000 coverage=0.599,1.000000,1.000000,0.599174,242,7,0,,,,,,,,,
T0272s8,T0272s8,CASP16,9C3C,V,Check,reference coverage below threshold 0.356; multiple equivalent chains match,0.355746,1.000000,1.000000,818,7,0,,,,,,,,,
T0272s9,T0272s9,CASP16,9C3C,n,Check,reference coverage below threshold 0.735; multiple equivalent chains match,0.735294,1.000000,1.000000,238,7,0,,,,,,,,,
T1104,T1104,CASP15,7ROA,A,Yes,prefiltered A1 protein target with mapped residue range,0.871212,1.000000,1.000000,117,7,7,boltz,0.502464922260144,0.4297090849991874,omegafold,0.2087,0.1944142857142857,esmfold,0.87951,0.6138328571428572
T1106s1,T1106s1,CASP15,7QIH,B,No,chain mapping below threshold identity=1.000 coverage=0.615; multiple equivalent chains match,0.946667,1.000000,0.614754,122,7,7,boltz,0.47936726272352126,0.4382000393004519,openfold,0.5556,0.45435714285714285,openfold,0.55388,0.4818771428571429
T1106s2,T1106s2,CASP15,7QIH,A,Check,multiple equivalent chains match,0.909836,1.000000,1.000000,114,7,7,esmfold,0.5709266578831796,0.5438390112303156,chai1,0.9505,0.7142714285714286,chai1,0.94684,0.7822714285714286
T1112,T1112,CASP15,8ORK,AAA,Check,multiple equivalent chains match,0.973913,1.000000,1.000000,460,7,7,boltz2,0.2885353578435554,0.2611593814357612,chai1,0.6127,0.35955714285714285,omegafold,0.84035,0.61762
T1114s1,T1114s1,CASP15,7UTD,Q,No,chain mapping below threshold identity=1.000 coverage=0.317; multiple equivalent chains match,0.983333,1.000000,0.317460,189,7,7,boltz,0.708173076923077,0.654739010989011,esmfold,0.7458,0.573857142857143,omegafold,0.60494,0.5243714285714286
T1114s2,T1114s2,CASP15,7UTD,B,Check,multiple equivalent chains match,0.872629,1.000000,1.000000,369,7,7,boltz2,0.21934974034770827,0.184510369964197,boltz2,0.0846,0.06888571428571429,chai1,0.80381,0.5209342857142857
T1114s3,T1114s3,CASP15,7UTD,A,Check,multiple equivalent chains match,0.998051,1.000000,0.958879,535,7,7,esmfold,0.28634525013384093,0.21964572516294603,esmfold,0.8955,0.3517,esmfold,0.96363,0.5529714285714286
T1120,T1120,CASP15,7QVB,B,Check,multiple equivalent chains match,0.970213,1.000000,1.000000,235,7,7,omegafold,0.38103488103488103,0.340981090981091,esmfold,0.227,0.17685714285714285,esmfold,0.55446,0.43223428571428574
T1122,T1122,CASP15,8BBT,A,Yes,prefiltered A1 protein target with mapped residue range,0.954357,1.000000,1.000000,241,7,7,chai1,0.4114253393665158,0.3723820297349709,chai1,0.363,0.2601,chai1,0.49624,0.39610571428571434
T1125,T1125,CASP15,8H2N,A,No,chain mapping below threshold identity=1.000 coverage=0.677; multiple equivalent chains match,0.856273,1.000000,0.676667,1200,7,0,,,,,,,,,
T1129s2,T1129s2,CASP15,8A8C,B,Yes,prefiltered A1 protein target with mapped residue range,0.825000,1.000000,1.000000,640,7,0,,,,,,,,,
T1133,T1133,CASP15,8DYS,A,Check,reference coverage below threshold 0.699,0.699145,1.000000,1.000000,585,7,0,,,,,,,,,
T1134s1,T1134s1,CASP15,7UBZ,A,Check,multiple equivalent chains match,1.000000,1.000000,1.000000,230,7,0,,,,,,,,,
T1134s2,T1134s2,CASP15,7UBZ,D,Check,reference coverage below threshold 0.645; multiple equivalent chains match,0.645367,1.000000,1.000000,313,7,0,,,,,,,,,
T1137s1,T1137s1,CASP15,8FEF,A,Yes,prefiltered A1 protein target with mapped residue range,0.958435,1.000000,1.000000,409,7,0,,,,,,,,,
T1137s2,T1137s2,CASP15,8FEF,B,Yes,prefiltered A1 protein target with mapped residue range,0.976676,1.000000,1.000000,343,7,0,,,,,,,,,
T1137s3,T1137s3,CASP15,8FEF,C,Check,reference coverage below threshold 0.592,0.591603,1.000000,1.000000,524,7,0,,,,,,,,,
T1137s4,T1137s4,CASP15,8FEF,D,Check,reference coverage below threshold 0.704,0.703839,1.000000,1.000000,547,7,0,,,,,,,,,
T1137s5,T1137s5,CASP15,8FEF,E,Yes,prefiltered A1 protein target with mapped residue range,0.917949,1.000000,1.000000,390,7,0,,,,,,,,,
T1137s6,T1137s6,CASP15,8FEF,F,Check,reference coverage below threshold 0.770,0.770270,1.000000,1.000000,518,7,0,,,,,,,,,
T1137s7,T1137s7,CASP15,8FEF,G,Check,reference coverage below threshold 0.458; multiple equivalent chains match,0.457887,1.000000,1.000000,653,7,0,,,,,,,,,
T1137s8,T1137s8,CASP15,8FEF,I,Yes,prefiltered A1 protein target with mapped residue range,0.951128,1.000000,1.000000,266,7,0,,,,,,,,,
T1137s9,T1137s9,CASP15,8FEF,J,Yes,prefiltered A1 protein target with mapped residue range,0.910035,1.000000,1.000000,289,7,0,,,,,,,,,
T1145,T1145,CASP15,7UWW,A,Check,multiple equivalent chains match,0.995276,1.000000,1.000000,635,7,0,,,,,,,,,
T1147,T1147,CASP15,8EM5,A,Check,multiple equivalent chains match,0.893204,1.000000,1.000000,103,7,0,,,,,,,,,
T1151s2,T1151s2,CASP15,8D5V,A,Check,reference coverage below threshold 0.724; multiple equivalent chains match,0.724138,1.000000,1.000000,116,7,0,,,,,,,,,
T1154,T1154,CASP15,7ZCX,AAA,Check,reference coverage below threshold 0.730; multiple equivalent chains match,0.730337,1.000000,1.000000,1424,7,0,,,,,,,,,
T1155,T1155,CASP15,8PBV,A,Yes,prefiltered A1 protein target with mapped residue range,1.000000,1.000000,1.000000,116,7,0,,,,,,,,,
T1157s1,T1157s1,CASP15,8PKO,A,Yes,prefiltered A1 protein target with mapped residue range,0.936832,1.000000,1.000000,1029,7,0,,,,,,,,,
T1157s2,T1157s2,CASP15,8PKO,B,Yes,prefiltered A1 protein target with mapped residue range,0.937374,1.000000,1.000000,495,7,0,,,,,,,,,
T1158,T1158,CASP15,8SXA,A,Yes,prefiltered A1 protein target with mapped residue range,0.870189,1.000000,0.988806,1340,7,0,,,,,,,,,
T1159,T1159,CASP15,7PZT,A,Check,multiple equivalent chains match,1.000000,1.000000,1.000000,160,7,0,,,,,,,,,
T1169,T1169,CASP15,8FJP,A,Yes,prefiltered A1 protein target with mapped residue range,0.871581,1.000000,1.000000,3364,7,0,,,,,,,,,
T1183,T1183,CASP15,8IFX,B,Yes,prefiltered A1 protein target with mapped residue range,0.975000,1.000000,1.000000,200,7,0,,,,,,,,,
T1185s1,T1185s1,CASP15,8OUY,A,Check,reference coverage below threshold 0.200,0.200000,1.000000,1.000000,350,7,0,,,,,,,,,
T1185s2,T1185s2,CASP15,8OUY,B,Yes,prefiltered A1 protein target with mapped residue range,0.832447,1.000000,1.000000,376,7,0,,,,,,,,,
T1185s4,T1185s4,CASP15,8OUY,D,Yes,prefiltered A1 protein target with mapped residue range,0.838710,1.000000,0.996429,280,7,0,,,,,,,,,
