model,domain_id,target_id,casp_round,pdb_id,chain_id,should_use,target_qc_status,qc_reason,reference_coverage,mapping_identity,mapping_coverage,resolved_ca_count,expected_mapped_residue_count,chain_assignment_confidence,target_length,residue_start,residue_end,sequence_start,sequence_end,success,score_success,gdt_ts,lddt_ca,tm_score,rmsd_ca,gdc_sc,global_lddt,molprobity,runtime_sec,carbon_emissions_g,energy_consumed_kwh,input_fasta,output_structure,log_file,error_message,score_error
chai1,T1104,T1104,CASP15,7ROA,A,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.871212,1.000000,1.000000,115,132,high,117,58,189,1,117,true,,0.3760869565217391,0.5405764125900645,,,,,,487,6.762715161189591,0.014237295076188611,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1104.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1104/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1104_chai1.log,,missing score
chai1,T1106s1,T1106s1,CASP15,7QIH,B,No,No,chain mapping below threshold identity=1.000 coverage=0.615; multiple equivalent chains match,0.946667,1.000000,0.614754,71,75,low,122,50,120,1,122,true,,0.2957746478873239,0.7548143053645118,,,,,,475,6.6838727617808,0.014071311077433264,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1106s1.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1106s1/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1106s1_chai1.log,,missing score
chai1,T1106s2,T1106s2,CASP15,7QIH,A,Check,Check,multiple equivalent chains match,0.909836,1.000000,1.000000,111,122,high,114,2,112,1,114,true,,0.9436936936936936,0.9593763724198509,,,,,,454,6.417132675952586,0.013509753002005444,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1106s2.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1106s2/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1106s2_chai1.log,,missing score
chai1,T1112,T1112,CASP15,8ORK,AAA,Check,Check,multiple equivalent chains match,0.973913,1.000000,1.000000,448,460,high,460,2,460,1,460,true,,,,,,,,,1734,24.000708980840958,0.050527808380717805,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1112.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1112/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1112_chai1.log,,missing score
chai1,T1114s1,T1114s1,CASP15,7UTD,Q,No,No,chain mapping below threshold identity=1.000 coverage=0.317; multiple equivalent chains match,0.983333,1.000000,0.317460,59,60,low,189,20,78,1,189,true,,0.1991525423728813,0.7461538461538462,,,,,,477,6.681815479669834,0.01406697995719965,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1114s1.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1114s1/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1114s1_chai1.log,,missing score
chai1,T1114s2,T1114s2,CASP15,7UTD,B,Check,Check,multiple equivalent chains match,0.872629,1.000000,1.000000,322,369,high,369,2,323,1,369,true,,0.5706521739130435,0.7451174079927749,,,,,,1062,14.580215751855253,0.030695191056537372,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1114s2.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1114s2/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1114s2_chai1.log,,missing score
chai1,T1114s3,T1114s3,CASP15,7UTD,A,Check,Check,multiple equivalent chains match,0.998051,1.000000,0.958879,512,513,high,535,4,516,1,535,true,,0.90380859375,0.8728362381773839,,,,,,3678,50.38522604418304,0.10607416009301693,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1114s3.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1114s3/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1114s3_chai1.log,,missing score
chai1,T1120,T1120,CASP15,7QVB,B,Check,Check,multiple equivalent chains match,0.970213,1.000000,1.000000,228,235,high,235,4,231,1,235,true,,0.1622807017543859,0.8484060984060984,,,,,,461,6.4865522139147656,0.013655899397715296,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1120.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1120/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1120_chai1.log,,missing score
chai1,T1122,T1122,CASP15,8BBT,A,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.954357,1.000000,1.000000,230,241,high,241,4,237,1,241,true,,0.2108695652173913,0.509841628959276,,,,,,465,6.536715380400748,0.013761506064001575,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1122.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1122/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1122_chai1.log,,missing score
chai1,T1129s2,T1129s2,CASP15,8A8C,B,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.825000,1.000000,1.000000,528,640,high,640,41,640,1,640,true,,0.0195121951219512,0.1636045886359562,,,,,,3592,50.309810454367266,0.10591539043024688,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1129s2.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1129s2/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1129s2_chai1.log,,missing score
