domain_id,target_id,casp_round,pdb_id,chain_id,should_use,qc_reason,reference_coverage,mapping_identity,mapping_coverage,target_length,n_models_attempted,n_models_success,best_model_by_lddt_ca,best_lddt_ca,mean_lddt_ca_across_models,best_model_by_gdt_ts,best_gdt_ts,mean_gdt_ts_across_models,best_model_by_tm_score,best_tm_score,mean_tm_score_across_models
T1104,T1104,CASP15,7ROA,A,Yes,prefiltered A1 protein target with mapped residue range,0.871212,1.0,1.0,117,1,1,colabfold,0.4841676147136898,0.4841676147136898,colabfold,0.4217391304347826,0.4217391304347826,,,
T1106s1,T1106s1,CASP15,7QIH,B,No,chain mapping below threshold identity=1.000 coverage=0.615; multiple equivalent chains match,0.946667,1.0,0.614754,122,1,1,colabfold,0.2924901185770751,0.2924901185770751,colabfold,0.0472972972972973,0.0472972972972973,,,
T1106s2,T1106s2,CASP15,7QIH,A,Check,multiple equivalent chains match,0.909836,1.0,1.0,114,1,1,colabfold,0.5713658322353974,0.5713658322353974,colabfold,0.4504504504504504,0.4504504504504504,,,
T1112,T1112,CASP15,8ORK,AAA,Check,multiple equivalent chains match,0.973913,1.0,1.0,460,1,1,colabfold,0.2834385396229634,0.2834385396229634,colabfold,0.1272321428571428,0.1272321428571428,,,
T1114s1,T1114s1,CASP15,7UTD,Q,No,chain mapping below threshold identity=1.000 coverage=0.317; multiple equivalent chains match,0.983333,1.0,0.31746,189,1,1,colabfold,0.2784260515603799,0.2784260515603799,colabfold,0.0357142857142857,0.0357142857142857,,,
T1114s2,T1114s2,CASP15,7UTD,B,Check,multiple equivalent chains match,0.872629,1.0,1.0,369,1,1,colabfold,0.2387633839275209,0.2387633839275209,colabfold,0.0149051490514905,0.0149051490514905,,,
T1114s3,T1114s3,CASP15,7UTD,A,Check,multiple equivalent chains match,0.998051,1.0,0.958879,535,1,1,colabfold,0.2882338944738564,0.2882338944738564,colabfold,0.15380859375,0.15380859375,,,
T1120,T1120,CASP15,7QVB,B,Check,multiple equivalent chains match,0.970213,1.0,1.0,235,1,1,colabfold,0.3336834733893557,0.3336834733893557,colabfold,0.0443925233644859,0.0443925233644859,,,
T1122,T1122,CASP15,8BBT,A,Yes,prefiltered A1 protein target with mapped residue range,0.954357,1.0,1.0,241,1,1,colabfold,0.357579185520362,0.357579185520362,colabfold,0.1358695652173913,0.1358695652173913,,,
T1129s2,T1129s2,CASP15,8A8C,B,Yes,prefiltered A1 protein target with mapped residue range,0.825,1.0,1.0,640,1,1,colabfold,0.1453203297591465,0.1453203297591465,colabfold,0.007421875,0.007421875,,,
T1133,T1133,CASP15,8DYS,A,Check,reference coverage below threshold 0.699,0.699145,1.0,1.0,585,1,1,colabfold,0.2446745018822881,0.2446745018822881,colabfold,0.0623471882640586,0.0623471882640586,,,
T1134s1,T1134s1,CASP15,7UBZ,A,Check,multiple equivalent chains match,1.0,1.0,1.0,230,1,1,colabfold,0.9398254276141774,0.9398254276141774,colabfold,0.941304347826087,0.941304347826087,,,
