domain_id,target_id,casp_round,pdb_id,chain_id,should_use,qc_reason,reference_coverage,mapping_identity,mapping_coverage,target_length,n_models_attempted,n_models_success,best_model_by_lddt_ca,best_lddt_ca,mean_lddt_ca_across_models,best_model_by_gdt_ts,best_gdt_ts,mean_gdt_ts_across_models,best_model_by_tm_score,best_tm_score,mean_tm_score_across_models
T0272s2,T0272s2,CASP16,9C3C,a,Check,multiple equivalent chains match,0.972393,1.000000,0.898072,363,3,3,chai1,0.218677662037037,0.2174599729938271,omegafold,0.0339943342776203,0.02950897072710097,,,
T0272s3,T0272s3,CASP16,9C3C,b,Check,multiple equivalent chains match,0.823899,1.000000,1.000000,318,3,3,chai1,0.1811053738764582,0.17622872442149548,chai1,0.0272435897435897,0.020032051282051235,,,
T0272s4,T0272s4,CASP16,9C3C,d,Check,multiple equivalent chains match,0.930796,1.000000,1.000000,289,3,3,chai1,0.1765206295193534,0.17556358996171836,omegafold,0.0211267605633802,0.015258215962441266,,,
T0272s5,T0272s5,CASP16,9C3C,g,Check,multiple equivalent chains match,0.907216,1.000000,1.000000,291,3,3,esmfold,0.1960336027222458,0.19192187721536932,esmfold,0.0163230240549828,0.013459335624284067,,,
T0272s6,T0272s6,CASP16,9C3C,A,Check,reference coverage below threshold 0.641,0.641026,1.000000,1.000000,624,3,3,esmfold,0.8487196765498652,0.8118167864630129,esmfold,0.285,0.15,,,
T0272s7,T0272s7,CASP16,9C3C,B,No,chain mapping below threshold identity=1.000 coverage=0.599,1.000000,1.000000,0.599174,242,3,3,chai1,0.2269034724434533,0.20773600934480194,omegafold,0.0268595041322314,0.015151515151515133,,,
T0272s8,T0272s8,CASP16,9C3C,V,Check,reference coverage below threshold 0.356; multiple equivalent chains match,0.355746,1.000000,1.000000,818,3,2,chai1,0.1410154021677125,0.1337849401026811,chai1,0.0144836272040302,0.0110201511335012,,,
T0272s9,T0272s9,CASP16,9C3C,n,Check,reference coverage below threshold 0.735; multiple equivalent chains match,0.735294,1.000000,1.000000,238,3,3,chai1,0.2005431675242996,0.1899180484086144,esmfold,0.0021097046413502,0.0007032348804500667,,,
T1104,T1104,CASP15,7ROA,A,Yes,prefiltered A1 protein target with mapped residue range,0.871212,1.000000,1.000000,117,3,3,esmfold,0.8165529010238908,0.6173682214637846,esmfold,0.8152173913043478,0.5166666666666667,,,
T1106s1,T1106s1,CASP15,7QIH,B,No,chain mapping below threshold identity=1.000 coverage=0.615; multiple equivalent chains match,0.946667,1.000000,0.614754,122,3,3,esmfold,0.8218707015130674,0.7987161852361302,chai1,0.2957746478873239,0.26643192488262907,,,
T1106s2,T1106s2,CASP15,7QIH,A,Check,multiple equivalent chains match,0.909836,1.000000,1.000000,114,3,3,chai1,0.9593763724198509,0.9459083589518372,chai1,0.9436936936936936,0.9271771771771772,,,
T1112,T1112,CASP15,8ORK,AAA,Check,multiple equivalent chains match,0.973913,1.000000,1.000000,460,3,3,,,,,,,,,
T1114s1,T1114s1,CASP15,7UTD,Q,No,chain mapping below threshold identity=1.000 coverage=0.317; multiple equivalent chains match,0.983333,1.000000,0.317460,189,3,3,esmfold,0.8495192307692307,0.807051282051282,esmfold,0.5423728813559322,0.3757062146892655,,,
T1114s2,T1114s2,CASP15,7UTD,B,Check,multiple equivalent chains match,0.872629,1.000000,1.000000,369,3,3,chai1,0.7451174079927749,0.7014657183713404,chai1,0.5706521739130435,0.5608178053830227,,,
T1114s3,T1114s3,CASP15,7UTD,A,Check,multiple equivalent chains match,0.998051,1.000000,0.958879,535,3,3,chai1,0.8728362381773839,0.8227896417028533,chai1,0.90380859375,0.8357747395833334,,,
T1120,T1120,CASP15,7QVB,B,Check,multiple equivalent chains match,0.970213,1.000000,1.000000,235,3,3,omegafold,0.8613421113421114,0.8515823515823516,esmfold,0.3355263157894737,0.2474415204678362,,,
T1122,T1122,CASP15,8BBT,A,Yes,prefiltered A1 protein target with mapped residue range,0.954357,1.000000,1.000000,241,3,3,esmfold,0.5266968325791855,0.5026395173453997,esmfold,0.2282608695652174,0.2079710144927536,,,
T1129s2,T1129s2,CASP15,8A8C,B,Yes,prefiltered A1 protein target with mapped residue range,0.825000,1.000000,1.000000,640,3,3,chai1,0.1636045886359562,0.14123897154010073,chai1,0.0195121951219512,0.013143631436314333,,,
T1133,T1133,CASP15,8DYS,A,Check,reference coverage below threshold 0.699,0.699145,1.000000,1.000000,585,3,3,esmfold,0.91571021944725,0.9118538242585621,chai1,0.9156479217603912,0.9083129584352078,,,
T1134s1,T1134s1,CASP15,7UBZ,A,Check,multiple equivalent chains match,1.000000,1.000000,1.000000,230,3,3,chai1,0.9209575030858757,0.9087462528654559,chai1,0.9163043478260868,0.8971014492753623,,,
T1134s2,T1134s2,CASP15,7UBZ,D,Check,reference coverage below threshold 0.645; multiple equivalent chains match,0.645367,1.000000,1.000000,313,3,3,chai1,0.2051144492131616,0.20267048164043866,esmfold,0.0449561403508771,0.04057017543859643,,,
T1137s1,T1137s1,CASP15,8FEF,A,Yes,prefiltered A1 protein target with mapped residue range,0.958435,1.000000,1.000000,409,3,3,chai1,0.7950710900473934,0.7788309636650869,omegafold,0.0369897959183673,0.0123299319727891,,,
T1137s2,T1137s2,CASP15,8FEF,B,Yes,prefiltered A1 protein target with mapped residue range,0.976676,1.000000,1.000000,343,3,3,omegafold,0.5056381342901076,0.5006834102169827,chai1,0.0,0.0,,,
T1137s3,T1137s3,CASP15,8FEF,C,Check,reference coverage below threshold 0.592,0.591603,1.000000,1.000000,524,3,3,chai1,0.2938862559241706,0.27936808846761446,chai1,0.0,0.0,,,
T1137s4,T1137s4,CASP15,8FEF,D,Check,reference coverage below threshold 0.704,0.703839,1.000000,1.000000,547,3,3,chai1,0.3133870349060222,0.30082470272343687,chai1,0.0,0.0,,,
T1137s5,T1137s5,CASP15,8FEF,E,Yes,prefiltered A1 protein target with mapped residue range,0.917949,1.000000,1.000000,390,3,3,chai1,0.4390095280301351,0.42944456754560895,omegafold,0.0211267605633802,0.007276995305164267,,,
T1137s6,T1137s6,CASP15,8FEF,F,Check,reference coverage below threshold 0.770,0.770270,1.000000,1.000000,518,3,3,esmfold,0.3584039548022599,0.35241794457896153,omegafold,0.0013123359580052,0.0004374453193350667,,,
T1137s7,T1137s7,CASP15,8FEF,G,Check,reference coverage below threshold 0.458; multiple equivalent chains match,0.457887,1.000000,1.000000,653,3,3,chai1,0.2090047393364928,0.1984360189573459,esmfold,0.0076530612244897,0.005102040816326467,,,
