model,domain_id,target_id,casp_round,pdb_id,chain_id,should_use,target_qc_status,qc_reason,reference_coverage,mapping_identity,mapping_coverage,resolved_ca_count,expected_mapped_residue_count,chain_assignment_confidence,target_length,residue_start,residue_end,sequence_start,sequence_end,success,score_success,gdt_ts,lddt_ca,tm_score,rmsd_ca,gdc_sc,global_lddt,molprobity,runtime_sec,carbon_emissions_g,energy_consumed_kwh,input_fasta,output_structure,log_file,error_message,score_error
colabfold,T1104,T1104,CASP15,7ROA,A,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.871212,1.0,1.0,115,132,high,117,58,189,1,117,True,True,0.4217391304347826,0.4841676147136898,,4.423289040107608,,,,590,9.693335058899262,0.02040702117663,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1104.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1104/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1104_colabfold.log,,missing score
colabfold,T1106s1,T1106s1,CASP15,7QIH,B,No,No,chain mapping below threshold identity=1.000 coverage=0.615; multiple equivalent chains match,0.946667,1.0,0.614754,71,75,low,122,50,120,1,122,True,True,0.0472972972972973,0.2924901185770751,,17.90154171841727,,,,614,10.228478780413605,0.0215336395377128,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1106s1.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1106s1/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1106s1_colabfold.log,,missing score
colabfold,T1106s2,T1106s2,CASP15,7QIH,A,Check,Check,multiple equivalent chains match,0.909836,1.0,1.0,111,122,high,114,2,112,1,114,True,True,0.4504504504504504,0.5713658322353974,,3.827966700204397,,,,635,10.567265705155483,0.0222468751687483,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1106s2.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1106s2/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1106s2_colabfold.log,,missing score
colabfold,T1112,T1112,CASP15,8ORK,AAA,Check,Check,multiple equivalent chains match,0.973913,1.0,1.0,448,460,high,460,2,460,1,460,True,True,0.1272321428571428,0.2834385396229634,,13.535463495316744,,,,650,11.579686309905837,0.0243782869682228,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1112.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1112/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1112_colabfold.log,,missing score
colabfold,T1114s1,T1114s1,CASP15,7UTD,Q,No,No,chain mapping below threshold identity=1.000 coverage=0.317; multiple equivalent chains match,0.983333,1.0,0.31746,59,60,low,189,20,78,1,189,True,True,0.0357142857142857,0.2784260515603799,,20.806130528158345,,,,623,10.600474205806035,0.0223167878016969,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1114s1.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1114s1/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1114s1_colabfold.log,,missing score
colabfold,T1114s2,T1114s2,CASP15,7UTD,B,Check,Check,multiple equivalent chains match,0.872629,1.0,1.0,322,369,high,369,2,323,1,369,True,True,0.0149051490514905,0.2387633839275209,,24.237127102610245,,,,649,11.384027306877249,0.0239663732776363,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1114s2.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1114s2/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1114s2_colabfold.log,,missing score
colabfold,T1114s3,T1114s3,CASP15,7UTD,A,Check,Check,multiple equivalent chains match,0.998051,1.0,0.958879,512,513,high,535,4,516,1,535,True,True,0.15380859375,0.2882338944738564,,8.684272347076446,,,,699,12.717008405412011,0.0267726492745516,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1114s3.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1114s3/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1114s3_colabfold.log,,missing score
colabfold,T1120,T1120,CASP15,7QVB,B,Check,Check,multiple equivalent chains match,0.970213,1.0,1.0,228,235,high,235,4,231,1,235,True,True,0.0443925233644859,0.3336834733893557,,15.248713318469171,,,,652,10.932078897058428,0.0230149029411756,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1120.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1120/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1120_colabfold.log,,missing score
colabfold,T1122,T1122,CASP15,8BBT,A,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.954357,1.0,1.0,230,241,high,241,4,237,1,241,True,True,0.1358695652173913,0.357579185520362,,19.26719893479829,,,,622,10.516140355036214,0.0221392428527078,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1122.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1122/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1122_colabfold.log,,missing score
colabfold,T1129s2,T1129s2,CASP15,8A8C,B,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.825,1.0,1.0,528,640,high,640,41,640,1,640,True,True,0.007421875,0.1453203297591465,,31.210612943381623,,,,634,11.42941813503658,0.0240619329158664,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1129s2.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1129s2/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1129s2_colabfold.log,,missing score
colabfold,T1133,T1133,CASP15,8DYS,A,Check,Check,reference coverage below threshold 0.699,0.699145,1.0,1.0,409,585,high,585,4,427,1,585,True,True,0.0623471882640586,0.2446745018822881,,16.189679807410624,,,,725,13.1627040880439,0.0277109559748292,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1133.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1133/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1133_colabfold.log,,missing score
colabfold,T1134s1,T1134s1,CASP15,7UBZ,A,Check,Check,multiple equivalent chains match,1.0,1.0,1.0,230,230,high,230,1,230,1,230,True,True,0.941304347826087,0.9398254276141774,,0.94036037092045,,,,650,11.029787256650684,0.0232206047508435,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1134s1.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1134s1/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1134s1_colabfold.log,,missing score
