Model,Target,GDT-TS,GDC-SC,TMscore,Global LDDT,MolProbity
af2,T1104.pdb,19.13,nan,0.90354,0.48255593477436487,nan
af2,T1106s1.pdb,71.17999999999999,nan,0.67581,0.35557083906464926,nan
af2,T1106s2.pdb,93.47,nan,0.93831,0.5697189284145805,nan
af2,T1112.pdb,70.89999999999999,nan,0.83876,0.28241491085899517,nan
af2,T1114s1.pdb,78.81,nan,0.6865,0.6139423076923077,nan
af2,T1114s2.pdb,6.6000000000000005,nan,0.97891,0.18788101151501468,nan
af2,T1114s3.pdb,95.85000000000001,nan,0.98861,0.28801082624472074,nan
af2,T1120.pdb,23.03,nan,0.52015,0.3787248787248787,nan
af2,T1122.pdb,20.43,nan,0.36131,0.34683257918552035,nan
boltz,T1104.pdb,19.78,nan,0.71155,0.502464922260144,nan
boltz,T1106s1.pdb,50.690000000000005,nan,0.49637,0.47936726272352126,nan
boltz,T1106s2.pdb,93.69,nan,0.93246,0.5654369784804567,nan
boltz,T1112.pdb,33.71,nan,0.61331,0.28763968267508316,nan
boltz,T1114s1.pdb,53.39,nan,0.41311,0.708173076923077,nan
boltz,T1114s2.pdb,6.99,nan,0.44893,0.2015127568299842,nan
boltz,T1114s3.pdb,6.79,nan,0.30236,0.1942775563619059,nan
boltz,T1120.pdb,13.930000000000001,nan,0.30193,0.3225340725340725,nan
boltz,T1122.pdb,22.5,nan,0.33576,0.3696266968325792,nan
boltz2,T1104.pdb,18.26,nan,0.72402,0.4961130072051574,nan
boltz2,T1106s1.pdb,32.64,nan,0.37485,0.46011004126547456,nan
boltz2,T1106s2.pdb,88.06,nan,0.9073,0.5692797540623628,nan
boltz2,T1112.pdb,41.5,nan,0.71219,0.2885353578435554,nan
boltz2,T1114s1.pdb,44.07,nan,0.45474,0.6581730769230769,nan
boltz2,T1114s2.pdb,8.459999999999999,nan,0.44833,0.21934974034770827,nan
boltz2,T1114s3.pdb,9.91,nan,0.29582,0.19152638153589913,nan
